game_id,event_pk,event_id,type_id,period_id,min,sec,timestamp_utc,team_id,player_id,outcome,possession_id,sequence_id,x,y,distance_m,angle_rad,is_goal,shot_time_ms,databallpy_event_id,databallpy_event,event_datetime_utc,event_time_ms_sync,tracking_frame_idx,sync_tracking_datetime,sync_tracking_time_ms,tracking_period,sync_certainty,sync_delta_ms,sync_aligned,goal_diff,time_since_last_event_s,shot_body_part,play_pattern,pressure_nd_dist_m,pressure_def_count_r1m,pressure_def_count_r2m,gk_ball_distance,gk_depth,gk_lateral_offset,obstruction_count,ball_speed_mps,shooter_speed_mps
2442546,2701875841,420,15,1,39,22,2024-07-19T18:39:43.812,401,574190,1,,,84.9,41.9,16.754900110045416,0.4088891502373664,0,1721414383812,830,shot,2024-07-19 18:39:43.812,1721414383812,59076,1975-01-01 00:39:23.040000+00:00,157768763040,1,0.9932201677533724,-1563645620772,True,2,222.0,foot,regular_play,4.25967134882493,0.0,0.0,13.373780318219676,4.280000000000001,0.51,1.0,,0.5590169943750148
2442546,2701876721,428,15,1,41,24,2024-07-19T18:41:46.618,2592,82830,1,,,87.0,29.5,19.48610857097948,0.2658052555442456,0,1721414506618,865,shot,2024-07-19 18:41:46.618,1721414506618,62102,1975-01-01 00:41:24.080000+00:00,157768884080,1,0.9674244009759873,-1563645622538,True,2,122.0,foot,corner_kick,3.448274931034358,0.0,0.0,14.207466346959967,1.8500000000000014,3.14,1.0,10.151970252123482,2.704163456597922
2442546,2701877739,443,15,1,43,18,2024-07-19T18:43:39.961,2592,621481,1,,,80.5,66.0,23.148763961818776,0.2788560371490571,0,1721414619961,919,shot,2024-07-19 18:43:39.961,1721414619961,64953,1975-01-01 00:43:18.120000+00:00,157768998120,1,0.9879565813610844,-1563645621841,True,2,114.0,right_foot,penalty,2.6515844319953326,0.0,0.0,17.970389533897148,3.289999999999999,2.81,1.0,22.919696769372692,5.367727638395938
2442546,2701883977,483,13,2,45,18,2024-07-19T19:03:05.734,2592,621481,1,,,98.1,28.6,14.679118654524183,0.0720027720536838,0,1721415785734,989,shot,2024-07-19 19:03:05.734,1721415785734,69604,1975-01-01 01:00:20.320000+00:00,157770020320,2,0.9883990554848904,-1563645765414,True,2,2820.0,right_foot,regular_play,2.2532864886649455,0.0,0.0,2.2532864886649455,0.990000000000002,11.43,0.0,,1.118033988749911
2442546,2701886409,571,15,2,52,30,2024-07-19T19:10:17.294,2592,621481,1,,,81.6,53.4,19.421144648284773,0.3701293161225292,0,1721416217294,1137,shot,2024-07-19 19:10:17.294,1721416217294,80343,1975-01-01 01:07:29.880000+00:00,157770449880,2,0.9440777068934212,-1563645767414,True,2,432.0,foot,regular_play,1.9425756098540952,0.0,2.0,13.601948389844742,3.8500000000000014,0.9,1.0,5.202163011671236,2.54950975679641
2442546,2701886969,595,13,2,54,1,2024-07-19T19:11:48.669,401,630534,1,,,86.4,54.2,14.535798928934032,0.4851734772436035,0,1721416308669,1159,shot,2024-07-19 19:11:48.669,1721416308669,82664,1975-01-01 01:09:02.720000+00:00,157770542720,2,0.9931728675778618,-1563645765949,True,2,91.0,foot,regular_play,3.4950965651895807,0.0,0.0,11.734709199635075,2.3699999999999974,2.36,1.0,,1.750000000000007
2442546,2701888197,635,15,2,57,35,2024-07-19T19:15:22.732,401,447810,1,,,85.2,28.7,21.21584382932718,0.2543463020922454,0,1721416522732,1236,shot,2024-07-19 19:15:22.732,1721416522732,87958,1975-01-01 01:12:34.480000+00:00,157770754480,2,0.8165199957754098,-1563645768252,True,2,214.0,foot,corner_kick,1.1520850663036997,0.0,1.0,11.662096724002936,3.3800000000000026,5.16,1.0,29.850670009230978,5.884301147969828
2442546,2701890031,669,15,2,62,16,2024-07-19T19:20:03.371,401,574190,1,,,85.6,67.1,19.047196045234585,0.3062190295141916,0,1721416803371,1324,shot,2024-07-19 19:20:03.371,1721416803371,95058,1975-01-01 01:17:18.480000+00:00,157771038480,2,0.9805830319542048,-1563645764891,True,2,281.0,foot,crossed_free_kick,5.745337239884187,0.0,0.0,12.402854510152087,0.7100000000000009,5.14,0.0,,2.304886114323264
2442546,2701891347,695,13,2,66,28,2024-07-19T19:24:15.169,2592,82830,1,,,78.9,31.6,25.403581349282224,0.250747540224422,0,1721417055169,1381,shot,2024-07-19 19:24:15.169,1721417055169,101296,1975-01-01 01:21:28+00:00,157771288000,2,0.9903989290936788,-1563645767169,True,2,252.0,foot,regular_play,4.171918024122718,0.0,0.0,19.89517529452807,2.740000000000002,2.08,1.0,25.491420125210674,4.031128874149134
2442546,2701892433,736,13,2,70,9,2024-07-19T19:27:56.882,2592,557012,1,,,94.3,31.1,14.165575733926245,0.2293884135713847,0,1721417276882,1451,shot,2024-07-19 19:27:56.882,1721417276882,106869,1975-01-01 01:25:10.920000+00:00,157771510920,2,0.993260451616367,-1563645765962,True,2,221.0,right_foot,regular_play,2.146718425877041,0.0,0.0,11.175280757099573,0.9600000000000009,5.23,0.0,,0.7905694150421061
